prompt
solid navy athletic swim shorts with a streamlined mid-thigh cut and smooth contour seams
charcoal-gray swim trunks with subtle panel detailing and a clean structured fit
solid black performance swim shorts with minimal seams and a sleek mid-thigh profile
deep forest-green swim trunks with clean contour lines and a smooth woven finish
slate-blue athletic swim shorts with a clean silhouette and structured waistband
solid burgundy swim trunks with smooth side paneling and streamlined shape
navy-and-gray colorblock swim shorts with athletic mid-thigh cut
solid teal swim trunks with simple contour seams and a clean fit
charcoal streamlined swim shorts with muted piping and smooth construction
soft sky-blue swim trunks with minimal paneling and streamlined silhouette
deep plum athletic swim shorts with fitted mid-thigh shape
solid olive-green swim trunks with clean seams and a matte woven finish
muted steel-gray swim shorts with smooth contour panel and structured shape
solid black sleek swim shorts with simple athletic stretch and minimal seams
navy performance swim trunks with subtle charcoal piping
solid pale-mint swim shorts with clean contours and smooth finish
slate-and-black athletic swim shorts with fitted mid-thigh shape
solid coral-red swim trunks with clean side seams and smooth woven fabric
deep sapphire-blue swim shorts with subtle contouring and structured fit
"board shorts in navy with white side stripes, quick-dry polyester, elastic waistband with drawstring, hitting just above the knee, mesh liner"
"swim trunks in bright tropical floral print, lightweight fabric with side pockets and back zippered pocket, mid-thigh length"
"solid burgundy board shorts, quick-dry boardshort material, elastic waistband with drawstring and side pockets, above knee"
"swim trunks in navy with white compass rose print, lightweight fabric with mesh liner, elastic waist, mid-thigh"
"charcoal hybrid swim shorts with contrast orange stitching, versatile quick-dry material, multiple pockets, longer length"
"color-block board shorts in electric blue and lime green, boardshort material, velcro back and side pockets, at-knee length, neon athletic"
"swim trunks in turquoise with white wave lines, quick-dry fabric, drawstring waist and back pocket, mid-thigh"
"solid forest green board shorts, quick-dry polyester with subtle texture, side pockets, hitting above knee"
"geometric kaleidoscope pattern swim trunks in multi-color, stretch fabric with mesh liner, elastic waistband, mid-thigh"
"black board shorts with neon green mesh panels, boardshort material, pockets and velcro, at-knee length"
"tropical watermelon slice print swim trunks in pink and green, lightweight quick-dry fabric, drawstring waist, mid-thigh"
"solid royal blue board shorts, quick-dry boardshort material, elastic waistband with drawstring, hitting above knee, classic royal blue"
"swim trunks in hot pink with palm frond shadows, stretch fabric with mesh liner, elastic waist, shorter mid-thigh cut"
"navy board shorts with turquoise side stripes, boardshort material, side and back pockets, at-knee length"
"color-block swim trunks in lime green and charcoal, quick-dry fabric, drawstring waist and pockets, mid-thigh"
"olive hybrid swim shorts with reinforced pockets, versatile quick-dry material, adjustable waist, longer length past knee"
"swim trunks in ombre teal to navy gradient, lightweight fabric with mesh liner, elastic waistband, mid-thigh"
"solid charcoal board shorts, boardshort material with matte finish, side pockets and drawstring, at-knee length"
"tropical jellyfish print swim trunks in purple and blue, quick-dry fabric, drawstring waist and back pocket, mid-thigh"
"board shorts in burgundy with white contrast piping, quick-dry polyester, velcro closure and pockets, hitting above knee"
"geometric cube pattern swim trunks in teal and black, stretch fabric, elastic waistband and pockets, mid-thigh"
"solid black board shorts with contrast stitching, quick-dry boardshort material, side seam pockets and velcro, at-knee length"
"swim trunks in bright red with white wave pattern, lightweight fabric with mesh liner, elastic waistband, mid-thigh"
"navy board shorts with white anchor detail, boardshort material, drawstring and side pockets, at-knee length"
"color-block swim trunks in orange and black, quick-dry fabric, adjustable waist and back pocket, mid-thigh"
