archetype,outfit_key,prompt
young woman,casual,"A fitted camisole in muted berry tones paired with wide-leg trousers in warm beige, and hair styled in soft waves."
young woman,casual,"A casual midi skirt in warm sand with a simple slit detail paired with a fitted tee, and hair styled in a half-up twist."
young woman,casual,"A relaxed short-sleeve blouse in pale mint paired with a denim skirt, and hair styled in a ponytail."
young woman,casual,"A cropped sweater in soft cream paired with tailored trousers in slate gray, and hair styled in loose curls."
young woman,casual,"A relaxed cotton tee in muted coral paired with high-waisted jeans, and hair styled in a messy bun."
young woman,casual,"A casual wrap skirt in dusty blue paired with a ribbed tank in ivory, and hair styled in a low ponytail."
young woman,casual,"A soft knit dress in muted lavender with a simple belt tie, and hair styled in soft waves."
young woman,casual,"A square-neck knit top in soft sage paired with a flowy midi skirt in cream, and hair styled in a braided bun."
young woman,casual,"A casual blouse in pale ivory paired with denim shorts and a lightweight cardigan, and hair styled in a ponytail."
young woman,casual,"A fitted ribbed tee in muted teal paired with a pleated skirt in dusty rose, and hair styled in loose curls."
young woman,casual,"A casual shirt dress in warm sand with rolled sleeves and a cinched waist, and hair styled in a messy bun."
young woman,casual,"A draped camisole in soft champagne paired with straight-leg jeans, and hair styled in a low bun."
young woman,casual,"A casual A-line skirt in muted olive paired with a fitted knit top in cream, and hair styled in a half-up bun."
young woman,casual,"A breezy floral sundress in pale blue with subtle ruffle details, and hair styled in soft waves."
young woman,casual,"A cropped knit cardigan in dusty lavender layered over a fitted tank with tailored shorts, and hair styled in a ponytail."
young woman,casual,"A relaxed knit top in soft ivory paired with wide-leg trousers in slate gray, and hair styled in loose curls."
young woman,casual,"A casual ribbed tank in warm terracotta paired with a flowy skirt in muted teal, and hair styled in a low ponytail."
young woman,casual,"A casual blouse in pale peach tucked into a pleated midi skirt in soft gray, and hair styled in a messy bun."
young woman,casual,"A fitted tee in muted navy paired with denim shorts and a lightweight open cardigan, and hair styled in soft waves."
young woman,casual,"A relaxed wrap dress in muted plum with a soft tie detail, and hair styled in a ponytail."
young woman,casual,"A cropped sweater in pale mint paired with straight-leg jeans, and hair styled in loose curls."
young woman,casual,"A casual midi skirt in dusty blue paired with a fitted ribbed top in cream, and hair styled in a low bun."
young woman,casual,"A soft jersey dress in warm beige with a gently defined waist, and hair styled in a half-up twist."
young woman,casual,"A sleeveless blouse in soft ivory paired with tailored trousers in deep charcoal, and hair styled in loose waves."
young woman,casual,"A casual denim skirt paired with a fitted knit top in muted coral, and hair styled in a ponytail."
young woman,casual,"A relaxed linen blouse in pale sage paired with high-waisted jeans, and hair styled in a messy bun."
young woman,casual,"A breezy sundress in pale lemon with a softly flared skirt, and hair styled in soft curls."
young woman,casual,"A fitted ribbed tank in muted teal paired with a tiered skirt in warm neutrals, and hair styled in a low ponytail."
young woman,casual,"A casual blouse in soft cream paired with straight-leg jeans and a cropped cardigan, and hair styled in loose waves."
young woman,casual,"A relaxed knit dress in muted rose with subtle pleats at the waist, and hair styled in a low bun."
young woman,casual,"A fitted knit tee in soft lavender paired with tailored shorts in charcoal, and hair styled in a ponytail."
young woman,casual,"A casual wrap skirt in pale mint paired with a fitted tee in warm beige, and hair styled in loose curls."
young woman,casual,"A soft blouse in pale blue tucked into a denim skirt with subtle seam details, and hair styled in soft waves."
young woman,casual,"A relaxed cotton tee in warm ivory paired with wide-leg trousers in slate gray, and hair styled in a half-up bun."
young woman,casual,"A casual short-sleeve dress in muted teal with gentle gathers, and hair styled in a messy bun."
young woman,casual,"A cropped knit cardigan in warm sand layered over a camisole and straight-leg jeans, and hair styled in a ponytail."
young woman,casual,"A pleated midi skirt in soft sage paired with a fitted mock-neck knit top, and hair styled in loose curls."
young woman,casual,"A casual striped tee in cream and blush paired with high-waisted jeans, and hair styled in a low ponytail."
young woman,casual,"A breezy floral skirt in muted coral paired with a fitted ribbed tank, and hair styled in a half-up twist."
young woman,casual,"A soft jersey midi dress in dusty lavender with a relaxed drape, and hair styled in soft waves."
young woman,casual,"A sleeveless blouse in muted teal paired with tailored trousers in warm beige, and hair styled in a low bun."
young woman,casual,"A casual denim skirt paired with a cropped sweater in pale cream, and hair styled in a ponytail."
young woman,casual,"A relaxed knit top in soft ivory paired with a flowy midi skirt in dusty rose, and hair styled in loose curls."
young woman,casual,"A casual wrap dress in pale sage with a tied waist detail, and hair styled in a messy bun."
young woman,casual,"A fitted tee in muted coral paired with denim shorts and a lightweight cardigan, and hair styled in soft waves."
young woman,casual,"A lightweight blouse in pale mint tucked into a pleated skirt in soft gray, and hair styled in a low ponytail."
young woman,casual,"A cropped knit tank in warm terracotta paired with tailored ankle trousers in charcoal, and hair styled in a half-up bun."
young woman,casual,"A relaxed blouse in cream with subtle texture paired with straight-leg jeans, and hair styled in loose curls."
young woman,casual,"A breezy sundress in muted teal with soft pleats, and hair styled in a ponytail."
young woman,casual,"A fitted ribbed top in soft lavender paired with a denim skirt, and hair styled in a low bun."
young woman,casual,"A casual midi skirt in warm beige paired with a fitted knit tank in muted coral, and hair styled in loose waves."
young woman,casual,"A relaxed knit dress in pale blue-gray with a gentle tie waist, and hair styled in soft curls."
young woman,casual,"A sleeveless blouse in pale peach paired with wide-leg trousers in slate gray, and hair styled in a ponytail."
young woman,casual,"A casual cropped tee in warm ivory paired with high-waisted jeans, and hair styled in a messy bun."
young woman,casual,"A flowy skirt in dusty sage paired with a fitted scoop-neck top in cream, and hair styled in a half-up twist."
young woman,casual,"A casual shirt dress in muted coral with a cinched waist, and hair styled in loose curls."
young woman,casual,"A soft cardigan in pale gray layered over a camisole and denim shorts, and hair styled in a low ponytail."
young woman,casual,"A fitted knit tank in muted teal paired with relaxed trousers in warm beige, and hair styled in a low bun."
young woman,casual,"A breezy floral sundress in soft blush with subtle ruffle trim, and hair styled in soft waves."
young woman,casual,"A casual blouse in pale ivory tucked into a denim skirt with a clean silhouette, and hair styled in a ponytail."
young woman,casual,"A relaxed knit top in muted lavender paired with straight-leg jeans, and hair styled in loose curls."
young woman,casual,"A pleated midi skirt in dusty blue paired with a fitted ribbed top in soft cream, and hair styled in a messy bun."
young woman,casual,"A casual wrap skirt in muted rose paired with a sleeveless knit top in ivory, and hair styled in a low ponytail."
young woman,casual,"A soft jersey dress in pale mint with gentle shaping at the waist, and hair styled in a half-up bun."
young woman,casual,"A lightweight blouse in pale blue paired with tailored shorts in charcoal, and hair styled in loose waves."
young woman,casual,"A casual knit sweater in soft oatmeal paired with high-waisted jeans, and hair styled in a braided bun."
young woman,casual,"A relaxed midi dress in warm beige with subtle texture, and hair styled in soft curls."
young woman,casual,"A fitted scoop-neck top in muted coral paired with wide-leg trousers in soft gray, and hair styled in a ponytail."
young woman,casual,"A casual denim skirt paired with a lightweight blouse in pale mint, and hair styled in a low bun."
young woman,casual,"A breezy skirt in dusty lavender paired with a fitted ribbed tank in soft cream, and hair styled in loose waves."
young woman,casual,"A casual sundress in soft sky blue with a gently flared skirt, and hair styled in a messy bun."
young woman,casual,"A relaxed blouse in pale peach paired with straight-leg jeans and a cropped cardigan, and hair styled in soft curls."
young woman,casual,"A sleeveless blouse in muted teal tucked into a pleated midi skirt in soft gray, and hair styled in a ponytail."
young woman,casual,"A soft knit dress in muted rose with a simple tie detail, and hair styled in a low ponytail."
young woman,casual,"A casual cropped tee in warm sand paired with denim shorts and a light cardigan, and hair styled in a half-up twist."
young woman,casual,"A relaxed knit top in soft ivory paired with a flowy midi skirt in muted teal, and hair styled in loose curls."
young woman,casual,"A casual wrap dress in dusty lavender with a softly defined waist, and hair styled in a low bun."

young woman,formal,"a fitted deep emerald satin mini dress with a plunging V neckline, thin spaghetti straps, a ruched bodycon skirt that hits mid-thigh, and a narrow satin belt cinching the waist, paired with a delicate gold pendant necklace and her hair styled in loose curls worn down"
young woman,formal,"a soft blush pink chiffon fit-and-flare dress with a sweetheart neckline, boned bodice, and thin straps, the skirt flowing lightly from a defined waistband to just above mid-thigh, accessorized with a slim ribbon tied at the waist and her hair pulled into a relaxed half-up style"
young woman,formal,"a sleek black bodycon dress made of stretchy jersey with a low square neckline, wide tank straps, and subtle princess seams to highlight the waist, the hem ending at mid-thigh, paired with layered silver necklaces and her hair worn down in smooth waves"
young woman,formal,"a navy blue satin wrap dress with a plunging V front, short flutter sleeves, and a side-tie at the waist, the wrap skirt cut on a diagonal to show mid-thigh, accessorized with a thin metallic belt and her hair in a messy low bun with loose face-framing pieces"
young woman,formal,"a wine-red velvet mini dress with an off-the-shoulder neckline that dips low across the chest, fitted long sleeves, and a snug bodycon fit, the hem at mid-thigh, finished with a simple choker necklace and her hair worn down in big party curls"
young woman,formal,"a shimmering silver sequin dress with a deep scoop neckline, narrow straps, and a straight column shape that hugs the torso before ending at mid-thigh, paired with small hoop earrings and her hair slicked back into a sleek high ponytail"
young woman,formal,"a dark teal satin slip dress with a cowl neckline that drapes low on the chest, delicate adjustable straps, and a bias-cut body that skims the hips to mid-thigh, cinched with a thin chain belt at the waist and her hair worn down with a soft side part"
young woman,formal,"a black lace-overlay dress with a nude lining, plunging V neckline, cap sleeves made of scalloped lace, and a fitted waist, the skirt hugging to mid-thigh, accessorized with a dainty bracelet and her hair swept into a loose braided updo"
young woman,formal,"a bright fuchsia bodycon mini dress with a sweetheart neckline and thin strap detailing that crosses over the upper chest, structured seams emphasizing the waist, and a smooth skirt ending mid-thigh, with her hair worn down and slightly tousled"
young woman,formal,"a royal blue chiffon skater dress with a low V neckline, wide straps, and a fitted bodice, the skirt flaring out from a satin waistband to just above the knees, accessorized with a thin silver waist chain and her hair styled in a polished low bun"
young woman,formal,"a black satin wrap-front dress with a plunging neckline, long slightly puffed sleeves gathered at the cuffs, and a tie belt at the waist, the tulip skirt cut high at mid-thigh, paired with statement earrings and her hair worn in voluminous curls down"
young woman,formal,"a soft champagne-colored satin slip dress with a low straight neckline, thin spaghetti straps, and subtle darts shaping the bodice, the skirt skimming the hips and ending at mid-thigh, finished with a delicate layered necklace and her hair tucked into a loose chignon"
young woman,formal,"a deep burgundy fit-and-flare dress with a plunging V-neck mesh insert, wide straps, and a structured bodice, the flared skirt reaching just above the knees, cinched with a matching satin ribbon at the waist and her hair styled half-up with a small clip"
young woman,formal,"a sleek black one-shoulder mini dress made of stretchy jersey, with a single long fitted sleeve, an asymmetrical neckline that dips low across the chest, and a tight skirt ending at mid-thigh, accessorized with bold geometric earrings and her hair worn down and straight"
young woman,formal,"a dusty rose A-line dress with a low sweetheart neckline, thin straps, and floral lace detailing across the bodice, the chiffon skirt gently flaring from a defined waist to mid-thigh, finished with a slim metallic belt and her hair in a romantic twisted half-up style"
young woman,formal,"a metallic gold sequin bodycon dress with a deep V neckline bordered by narrow straps, a fitted waist, and a straight skirt that hits mid-thigh, paired with simple stud earrings and her hair pulled into a sleek mid-height ponytail"
young woman,formal,"a forest green satin wrap dress with a plunging surplice front, short flutter sleeves, and a self-tie belt, the high-low skirt opening to show mid-thigh at the front, accessorized with a delicate lariat necklace and her hair worn down with soft curls"
young woman,formal,"a black mesh-panel mini dress with a low square neckline, thick straps, and sheer mesh panels at the waist that still feel secure, the skirt fitted and ending at mid-thigh, paired with a slim choker and her hair styled in a high messy bun"
young woman,formal,"a bright cobalt blue bodycon dress with a deep V front held by a thin horizontal strap, sleeveless shoulders, and side ruching that accentuates the waist, the hem at mid-thigh, accessorized with stacked bangles and her hair worn down over one shoulder"
young woman,formal,"a soft lilac chiffon dress with a plunging halter neckline that ties at the back of the neck, a banded waist, and a lightly pleated skirt that flares to just above the knees, finished with a narrow satin ribbon at the waist and her hair styled in a low, loose bun"
young woman,formal,"a sleek black satin slip dress with a straight neckline cut low across the chest, thin straps, and a smooth fitted body ending mid-thigh, accessorized with a thin silver chain belt and her hair worn down in glossy waves"
young woman,formal,"a cherry red skater dress with a deep V neckline, short ruffled sleeves, and a fitted bodice, the flared skirt swishing to mid-thigh, finished with a small bow belt at the waist and her hair pulled into a high ponytail with a few loose strands"
young woman,formal,"a midnight blue velvet mini dress with a plunging sweetheart neckline, structured cups, and thin straps, the bodycon skirt ending at mid-thigh, paired with delicate drop earrings and her hair styled in loose curls worn down"
young woman,formal,"a soft beige lace dress with a low V neck, three-quarter sheer lace sleeves, and a fitted waist, the lined skirt hugging to mid-thigh, accessorized with a thin satin sash tied in a bow and her hair in a relaxed low bun"
young woman,formal,"a pastel mint fit-and-flare dress with a cowl neckline draped low, spaghetti straps, and a defined waist seam, the skirt lightly pleated and ending above the knees, paired with a simple pendant necklace and her hair worn half-up with a small braid"
young woman,formal,"a black jersey bodycon dress with an off-the-shoulder neckline dipping low across the chest, short fitted sleeves, and subtle ruching along the hips, the skirt ending mid-thigh, accessorized with a layered chain necklace and her hair worn straight and sleek"
young woman,formal,"a rose gold sequin mini dress with a plunging V neckline, narrow adjustable straps, and a fitted waist, the shimmering skirt hugging to mid-thigh, finished with simple hoop earrings and her hair styled in big loose curls down her back"
young woman,formal,"a dark plum satin wrap-front dress with a deep V neck, long bishop sleeves gathered at the wrists, and a self-tie belt, the tulip hem opening at mid-thigh, paired with a thin choker and her hair pulled into a high, slightly messy bun"
young woman,formal,"a soft sky blue chiffon dress with a sweetheart neckline and thin off-the-shoulder straps, a fitted bodice with light boning, and a flowy skirt that ends just above the knees, cinched with a satin ribbon belt and her hair worn down in gentle waves"
young woman,formal,"a sleek white mini dress made of thick stretch crepe, with a low square neckline, wide straps, and vertical seams that sculpt the waist, the bodycon skirt at mid-thigh, accessorized with a delicate gold chain and her hair pulled into a smooth low ponytail"
young woman,formal,"a black and red floral satin dress with a plunging V wrap front, sleeveless shoulders, and a tie at the side waist, the skirt cut on a diagonal to show mid-thigh, paired with subtle stud earrings and her hair styled in a loose half-up twist"
young woman,formal,"a champagne-colored slip dress with a draped cowl neck that hangs low, slim spaghetti straps, and a gently skimming silhouette, the hem ending at mid-thigh, cinched with a thin chain belt and her hair worn down and slightly tousled"
young woman,formal,"a deep navy fit-and-flare dress with a mesh plunge neckline, wide straps, and a structured bodice, the skirt flaring to just above the knees, accessorized with a slim metallic belt and her hair arranged in a neat low bun"
young woman,formal,"a burgundy velvet bodycon mini dress with an asymmetrical one-shoulder neckline that dips low, a single long sleeve, and a ruched skirt finishing at mid-thigh, paired with statement earrings and her hair worn in glamorous waves"
young woman,formal,"a pale pink lace-overlay dress with a deep V neckline, short flutter sleeves, and a cinched waist, the lined skirt hugging to mid-thigh, finished with a satin ribbon tied in a small bow and her hair styled half-up with a decorative clip"
young woman,formal,"a dark teal jersey bodycon dress with a low scoop neckline, thin straps crossing at the back, and side ruching to emphasize the waist, the skirt hitting mid-thigh, accessorized with a delicate bracelet stack and her hair worn down and straight"
young woman,formal,"a black satin wrap dress with a plunging neckline, flutter cap sleeves, and a tie belt at the waist, the wrap skirt cut high at mid-thigh, paired with a dainty lariat necklace and her hair pulled into a loose bun with soft tendrils"
young woman,formal,"a vibrant red skater dress with a low square neckline, thick straps, and a fitted bodice, the flared skirt swishing to mid-thigh, finished with a slim black belt and her hair worn in a high ponytail with a slight wave"
young woman,formal,"a silver metallic slip dress with a straight neckline cut low across the chest, spaghetti straps, and a smooth body that skims to mid-thigh, accessorized with simple hoop earrings and her hair styled in a sleek center-parted look"
young woman,formal,"a royal purple chiffon dress with a plunging halter neckline, a gathered bust, and a wide waistband, the skirt softly flaring to just above the knees, finished with a thin belt and her hair swept into a relaxed low chignon"
young woman,formal,"a deep green velvet mini dress with an off-the-shoulder neckline, short fitted sleeves, and a snug bodycon fit, the hem ending at mid-thigh, paired with a delicate choker necklace and her hair worn down in big curls"
young woman,formal,"a black mesh-paneled dress with a plunging V neck, sheer mesh above the bust and at the waist, and solid panels shaping the torso, the fitted skirt ending mid-thigh, accessorized with a slim metallic waist belt and her hair in a high messy bun"
young woman,formal,"a dusty blue fit-and-flare dress with a sweetheart neckline and thin straps, a structured bodice, and a lightly pleated skirt falling just above the knees, finished with a satin ribbon tied in a small bow at the waist and her hair worn half-up with a braid"
